,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1968-01-01,-223.5681754770604,-231.207454065706,-186.44133277904226,-223.5681754770604,-223.5681754770604,13.992782873002817,13.992782873002817,13.992782873002817,0.05337491859429083,0.05337491859429083,0.05337491859429083,13.939407954408525,13.939407954408525,13.939407954408525,0.0,0.0,0.0,-209.57539260405758
1,1968-02-01,-223.14101189725716,-237.86526928000748,-191.95495072763978,-223.14101189725716,-223.14101189725716,8.564180491038437,8.564180491038437,8.564180491038437,-0.532936403360052,-0.532936403360052,-0.532936403360052,9.09711689439849,9.09711689439849,9.09711689439849,0.0,0.0,0.0,-214.57683140621873
2,1968-03-01,-222.7414072580864,-250.61081690158022,-204.11363313521684,-222.7414072580864,-222.7414072580864,-4.897627774611564,-4.897627774611564,-4.897627774611564,-0.8510649438698012,-0.8510649438698012,-0.8510649438698012,-4.046562830741763,-4.046562830741763,-4.046562830741763,0.0,0.0,0.0,-227.63903503269796
3,1968-04-01,-222.31424367828313,-244.17512386301502,-199.3546508509705,-222.31424367828313,-222.31424367828313,-0.015424672072838956,-0.015424672072838956,-0.015424672072838956,0.05337491859428512,0.05337491859428512,0.05337491859428512,-0.06879959066712407,-0.06879959066712407,-0.06879959066712407,0.0,0.0,0.0,-222.32966835035597
4,1968-05-01,-221.90085956879614,-246.86432457698018,-198.9597315540734,-221.90085956879614,-221.90085956879614,-1.6984807324184024,-1.6984807324184024,-1.6984807324184024,-0.08109858420900891,-0.08109858420900891,-0.08109858420900891,-1.6173821482093935,-1.6173821482093935,-1.6173821482093935,0.0,0.0,0.0,-223.59934030121454
5,1968-06-01,-221.4736959889929,-253.55714968980365,-206.0691172177787,-221.4736959889929,-221.4736959889929,-7.97853825581297,-7.97853825581297,-7.97853825581297,0.7953195343705285,0.7953195343705285,0.7953195343705285,-8.773857790183499,-8.773857790183499,-8.773857790183499,0.0,0.0,0.0,-229.45223424480585
6,1968-07-01,-221.06031187950583,-251.25210382747076,-202.79647348737166,-221.06031187950583,-221.06031187950583,-6.560085977890045,-6.560085977890045,-6.560085977890045,0.05337491859421858,0.05337491859421858,0.05337491859421858,-6.613460896484264,-6.613460896484264,-6.613460896484264,0.0,0.0,0.0,-227.6203978573959
7,1968-08-01,-220.63314829970258,-251.43467775262084,-206.72030540595398,-220.63314829970258,-220.63314829970258,-8.113023346195051,-8.113023346195051,-8.113023346195051,-0.5329364033600026,-0.5329364033600026,-0.5329364033600026,-7.580086942835048,-7.580086942835048,-7.580086942835048,0.0,0.0,0.0,-228.74617164589765
8,1968-09-01,-220.20598471989933,-245.75301081162212,-200.26742612007092,-220.20598471989933,-220.20598471989933,-3.2921888338118936,-3.2921888338118936,-3.2921888338118936,0.7953197218136031,0.7953197218136031,0.7953197218136031,-4.087508555625496,-4.087508555625496,-4.087508555625496,0.0,0.0,0.0,-223.49817355371124
9,1968-10-01,-219.79260061041234,-250.4515719520217,-204.37800369834602,-219.79260061041234,-219.79260061041234,-6.45506503166877,-6.45506503166877,-6.45506503166877,-0.17891424333960068,-0.17891424333960068,-0.17891424333960068,-6.2761507883291685,-6.2761507883291685,-6.2761507883291685,0.0,0.0,0.0,-226.2476656420811
10,1968-11-01,-219.36543703060903,-236.65229870462508,-189.0709610885718,-219.36543703060903,-219.36543703060903,5.521346753410994,5.521346753410994,5.521346753410994,-0.8510649438698802,-0.8510649438698802,-0.8510649438698802,6.372411697280875,6.372411697280875,6.372411697280875,0.0,0.0,0.0,-213.84409027719803
11,1968-12-01,-218.95205292112203,-230.1737614402665,-185.09366649214454,-218.95205292112203,-218.95205292112203,11.219061768827999,11.219061768827999,11.219061768827999,0.795319721813659,0.795319721813659,0.795319721813659,10.42374204701434,10.42374204701434,10.42374204701434,0.0,0.0,0.0,-207.73299115229403
